,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth
270,31,778,44,499,95,73,146,2,3,4,5,7
271,15,16,7,23,0,8,6,3,3,0,4,5
272,2,167,0,43,6,2,13,2,4,2,4,5
273,55,13,2,14,8,7,4,4,2,0,4,6
274,38,33,6,40,3,7,10,3,2,0,4,7
275,86,625,7,99,10,22,7,2,6,3,12,4
276,56,216,162,224,101,92,162,2,7,4,10,5
277,29,68,129,396,188,22,15,1,3,3,5,1
278,30,196,0,512,33,130,54,1,3,5,8,1
279,64,635,15,100,20,7,131,1,9,3,9,6
280,46,4,19,9,28,25,17,3,3,0,4,7
281,84,297,7,79,0,11,182,2,8,2,4,8
282,20,84,5,38,150,12,28,2,4,1,6,7
283,74,204,7,149,20,15,66,1,5,1,8,2
284,18,26,0,8,0,0,3,2,2,0,3,5
285,75,15,6,20,4,5,20,1,3,1,2,7
286,17,304,98,230,150,74,74,1,6,3,13,3
287,88,285,28,242,55,114,135,13,6,2,12,5
288,19,395,183,565,166,141,28,1,5,11,5,3
289,62,248,3,81,4,3,51,3,7,1,5,8
290,11,20,6,5,0,9,12,1,1,0,3,7
291,74,39,0,56,20,8,14,3,3,1,3,7
292,32,777,129,573,216,21,203,1,2,7,9,4
293,76,8,3,22,21,1,13,3,3,0,3,9
294,6,9,1,3,0,4,8,1,0,0,3,6
295,62,1241,0,80,0,13,40,3,3,6,11,8
296,20,6,4,7,4,3,8,1,1,0,3,7
297,43,65,4,16,0,4,11,1,3,0,3,8
298,45,395,15,263,60,54,38,1,2,3,6,1
299,34,801,0,80,0,0,35,5,8,3,12,5
300,53,36,0,12,2,2,10,4,3,1,3,5
301,44,513,14,154,19,0,28,1,9,2,9,6
302,89,37,0,46,4,3,0,1,2,1,3,4
303,43,80,15,93,20,13,52,3,5,1,4,8
304,68,14,1,21,2,3,25,3,3,1,3,7
305,44,525,147,112,219,147,63,1,6,7,9,2
306,64,1,26,25,17,23,15,1,3,0,3,9
307,85,675,11,400,15,45,11,1,2,5,10,1
308,93,509,0,27,0,0,10,1,8,3,6,7
309,12,154,2,46,20,4,15,1,4,2,4,4
310,86,3,5,14,2,12,17,4,3,1,3,6
311,28,25,0,8,2,0,2,2,2,0,3,7
312,69,861,138,461,60,30,61,1,6,5,12,3
313,42,768,44,561,77,44,14,1,6,6,10,3
314,13,185,0,28,3,2,17,6,3,1,6,4
315,86,24,0,7,0,0,1,2,2,0,3,5
316,59,44,4,21,6,0,27,2,3,0,3,7
317,30,91,64,128,65,3,50,2,4,3,6,3
318,33,11,0,7,3,1,6,2,1,0,3,5
319,67,738,20,172,52,50,20,6,2,3,10,7
320,23,412,5,119,38,29,77,3,3,3,12,2
321,81,3,3,7,6,2,9,1,1,0,2,7
322,6,16,0,3,0,0,1,1,1,0,2,7
323,41,731,60,353,78,12,73,5,10,3,5,7
324,78,424,17,118,7,23,41,6,8,2,8,8
325,49,792,0,275,45,45,126,1,4,8,5,3
326,39,21,2,28,3,2,9,3,2,0,4,8
327,3,22,1,11,0,1,2,1,1,0,3,7
328,37,33,0,5,0,0,0,1,1,0,3,4
329,22,68,7,59,10,5,11,4,3,1,4,8
330,79,9,1,6,3,0,4,1,1,0,2,8
331,46,40,2,15,8,0,6,1,1,1,3,4
332,82,909,11,218,0,0,23,2,9,3,5,5
333,10,23,1,13,2,2,18,1,1,1,2,7
334,51,11,2,9,3,0,8,2,2,0,3,8
335,38,317,46,247,151,46,139,1,4,5,12,3
336,10,797,153,293,72,97,30,1,11,4,6,4
337,14,10,2,16,11,2,21,1,1,0,3,8
338,18,856,61,570,40,25,122,1,7,6,8,3
339,36,755,144,562,104,64,224,1,4,6,4,1
340,95,456,19,832,75,118,38,1,4,5,11,3
341,11,37,32,38,11,3,18,1,2,1,4,6
342,65,1103,0,45,0,0,34,3,4,2,11,8
343,71,378,14,68,19,14,14,2,3,5,8,3
344,13,1,6,7,0,1,3,1,1,0,2,8
345,58,204,34,204,172,153,173,1,2,9,4,1
346,65,30,0,9,0,0,3,2,1,0,3,6
347,0,189,104,379,111,189,218,1,4,4,6,1
348,33,15,0,12,7,3,7,3,2,0,3,7
349,90,9,0,3,0,0,4,1,1,0,2,6
350,95,495,33,255,11,33,8,4,6,7,9,4
351,93,656,80,455,52,107,93,2,8,4,8,4
352,38,452,20,514,13,30,0,3,4,6,5,3
353,18,546,91,410,119,0,22,1,3,4,10,1
354,57,1048,0,217,0,0,12,5,11,3,5,6
355,45,22,2,14,0,1,10,2,2,0,3,7
356,61,78,0,11,0,0,10,1,2,0,4,6
357,6,561,64,785,84,128,48,1,3,3,8,1
358,65,629,17,177,69,0,8,1,5,3,5,2
359,52,269,15,69,15,19,38,2,4,6,4,5
360,87,736,163,818,212,163,61,1,4,7,10,2
361,38,512,0,83,0,0,41,3,6,2,10,4
362,53,19,3,10,11,8,6,3,2,1,4,4
363,31,9,0,6,4,1,5,1,1,0,2,9
364,67,247,8,160,6,8,65,7,6,3,6,7
365,65,404,0,92,28,27,142,2,6,2,9,4
366,64,333,0,815,129,42,29,1,4,10,11,2
367,82,2,3,20,6,11,9,2,2,0,3,7
368,27,833,33,549,151,133,233,1,4,3,8,3
369,63,789,0,142,12,9,38,2,2,4,8,8
370,66,10,4,7,0,6,3,1,1,0,3,6
371,69,159,4,45,6,2,38,6,5,1,4,8
372,52,7,1,6,3,1,11,1,1,1,2,4
373,45,977,12,253,16,12,101,4,4,3,12,8
374,2,38,4,22,3,3,3,3,3,0,3,8
375,86,57,0,27,0,0,36,4,3,2,2,8
376,23,3,9,15,13,2,39,1,1,1,2,9
377,13,10,4,14,4,4,1,1,1,0,3,8
378,14,1043,24,97,32,24,157,2,3,5,10,6
379,92,3,9,13,2,12,12,1,1,0,3,7
380,38,11,0,5,0,0,1,1,1,0,2,8
381,74,3,6,5,0,2,6,1,0,0,3,7
382,14,43,12,96,78,40,55,3,4,1,6,7
383,94,73,3,90,12,1,32,7,4,1,4,8
384,33,12,0,1,0,0,6,1,0,1,2,3
385,32,4,7,7,6,4,13,3,1,2,2,5
386,11,314,11,53,4,3,107,3,7,3,4,7
387,78,571,50,142,33,50,159,4,4,5,13,2
388,56,70,0,11,2,8,23,1,2,1,3,6
389,57,866,21,151,28,21,86,3,2,2,12,5
390,7,594,134,786,33,134,57,0,5,6,8,1
391,0,140,4,61,0,13,4,2,3,1,6,4
392,66,375,152,335,93,91,81,1,5,4,6,2
393,86,102,9,63,2,9,24,1,4,1,4,6
394,80,554,35,113,0,7,78,3,5,3,12,3
395,56,919,0,505,99,30,45,1,4,9,10,2
396,18,96,1,42,12,3,32,4,3,1,4,8
397,51,5,2,16,3,2,19,2,1,1,2,8
398,71,2,0,6,8,6,5,1,1,0,3,7
399,71,6,4,9,6,36,35,4,2,2,3,7
400,80,23,1,25,0,8,7,4,2,1,3,6
401,2,610,105,125,137,42,21,1,9,4,9,5
402,83,67,5,61,3,8,19,5,2,1,5,5
403,29,65,36,74,38,20,110,1,5,1,4,7
404,11,416,0,26,0,0,4,9,6,3,6,7
405,55,23,0,11,3,2,2,1,1,0,3,6
406,19,19,3,26,10,9,3,3,2,0,4,8
407,1,155,7,80,13,7,10,3,5,1,5,6
408,19,14,0,24,3,3,2,1,3,0,2,9
409,28,370,9,92,6,9,4,3,7,1,8,7
410,76,4,22,11,3,7,32,2,3,0,3,8
411,50,407,53,221,58,150,26,4,4,3,6,4
412,1,1200,0,204,38,29,14,3,11,9,12,6
413,90,85,44,54,102,78,6,3,5,1,7,7
414,83,583,34,309,0,22,125,2,5,4,8,3
415,73,483,0,591,156,0,12,1,3,5,10,1
416,24,2,5,9,28,6,28,3,2,1,3,5
417,11,966,26,282,52,26,26,1,2,7,11,5
418,33,822,114,108,179,137,114,1,7,9,9,3
419,4,604,0,100,19,0,28,9,10,2,8,8
420,14,19,3,19,3,1,3,2,2,0,3,7
421,30,5,3,11,12,5,9,1,2,0,3,6
422,75,2,2,2,2,1,1,1,1,0,2,8
423,26,1076,68,103,29,91,68,1,3,4,8,1
424,77,1285,42,716,55,0,21,0,7,10,5,2
425,8,10,0,7,2,0,1,1,1,0,2,8
426,42,551,137,792,179,103,33,1,6,7,13,1
427,28,800,0,297,0,34,57,2,2,5,10,6
428,52,2,2,11,10,6,12,2,1,0,4,5
429,1,378,0,189,97,172,172,2,5,5,12,3
430,1,1248,16,349,43,16,16,1,2,4,9,4
431,42,235,0,235,19,4,191,5,8,1,7,8
432,76,515,47,181,149,95,95,15,9,6,9,7
433,27,438,66,400,12,38,114,1,8,3,13,4
434,28,25,0,22,2,3,5,2,1,0,4,5
435,49,31,0,7,2,0,6,1,1,0,3,5
436,12,357,35,271,28,28,14,3,6,2,12,5
437,14,400,4,35,6,0,22,2,9,1,5,8
438,89,99,0,15,2,1,5,3,2,1,4,7
439,96,1,11,5,4,6,9,2,2,0,3,8
440,56,5,4,13,8,0,4,1,1,0,3,8
441,72,77,28,31,16,0,4,2,2,1,5,4
442,14,3,1,2,4,3,1,1,0,0,3,5
443,13,10,4,14,4,4,1,1,1,0,3,8
444,99,0,6,3,7,6,12,1,1,0,3,8
445,72,0,0,1,2,12,5,1,1,0,2,8
446,92,76,14,74,13,5,10,2,5,0,4,8
447,87,398,190,537,61,156,37,1,4,5,7,1
448,7,14,7,11,11,0,5,2,2,0,3,8
449,91,208,7,82,30,66,35,2,3,2,9,3
450,71,430,16,322,43,24,33,5,4,7,11,3
451,24,656,38,161,62,47,37,3,8,9,7,7
452,17,14,2,30,8,2,3,1,2,0,4,5
453,87,141,70,106,72,19,23,2,4,2,8,3
454,21,507,19,364,25,47,9,3,9,5,10,7
455,90,164,24,103,12,3,42,7,5,1,6,8
456,44,606,24,974,197,194,64,1,7,7,9,4
457,71,116,11,72,3,17,46,4,4,1,5,6
458,52,143,15,60,24,23,5,2,2,1,8,2
459,78,398,96,447,220,96,32,1,5,7,6,3
460,2,522,0,257,32,16,66,4,2,2,8,7
461,60,161,0,253,199,191,122,1,3,7,11,1
462,25,112,0,6,2,1,14,2,3,1,3,6
463,47,483,84,398,205,84,241,1,3,7,8,1
464,46,7,5,39,17,15,37,2,4,0,3,7
465,83,789,25,420,16,38,0,1,2,8,9,1
466,17,1239,17,413,23,34,17,1,5,6,5,2
467,13,4,1,5,2,0,3,1,1,0,2,8
468,86,335,42,127,28,5,5,3,7,2,8,6
469,92,639,8,166,11,8,58,3,7,3,12,7
470,47,563,76,384,84,192,89,4,6,10,13,4
471,18,2,0,8,2,2,3,1,1,0,2,8
472,81,746,8,125,11,8,8,7,8,6,9,6
473,91,22,1,13,4,0,4,2,1,0,3,7
474,58,4,1,6,4,1,9,1,1,1,2,5
475,40,478,0,193,110,75,117,4,8,3,11,5
476,67,20,3,4,2,0,2,2,1,0,3,3
477,19,451,0,39,0,4,24,1,7,1,8,5
478,93,371,22,39,6,0,92,4,6,2,7,5
479,41,281,7,84,15,0,119,7,7,3,4,8
480,60,19,7,19,0,1,24,1,2,1,2,7
481,54,26,3,13,2,10,0,1,2,0,3,6
482,26,138,15,35,25,11,72,2,6,2,2,9
483,30,213,2,44,0,2,5,4,4,2,5,5
484,93,407,28,100,120,74,18,1,5,9,4,3
485,35,483,74,114,169,37,18,1,5,10,13,3
486,4,738,0,232,13,20,50,2,3,5,7,7
487,92,502,12,109,16,6,90,2,7,2,10,6
488,24,11,0,5,2,1,1,1,1,0,3,7
489,96,24,1,108,29,29,14,1,4,1,4,8
490,11,1170,19,594,99,76,134,2,2,5,12,6
491,99,185,2,88,15,5,14,2,6,1,5,8
492,72,983,20,389,240,50,40,1,3,5,13,6
493,77,691,0,69,10,0,130,4,2,6,3,8
494,85,504,13,131,8,0,26,1,9,4,6,7
495,88,317,25,265,25,19,12,3,5,3,11,5
496,22,29,1,9,2,0,2,1,2,0,3,3
497,83,1396,0,322,46,35,17,1,4,9,4,6
498,63,529,0,356,63,28,0,3,6,7,11,3
499,9,388,14,218,91,14,21,1,4,3,13,2
500,92,13,2,21,4,0,24,2,1,1,2,8
501,2,28,0,4,0,0,0,1,1,0,3,5
502,6,16,36,21,20,62,108,1,4,1,3,8
503,66,1047,0,140,67,38,153,2,4,3,12,8
504,49,31,0,7,2,0,6,1,1,0,3,5
505,29,815,10,239,28,10,108,2,10,4,12,6
506,77,225,162,387,106,36,29,1,5,10,8,3
507,77,493,70,324,146,40,84,1,3,7,11,1
508,71,34,4,66,3,10,20,1,2,1,4,7
509,49,382,138,65,60,26,59,6,5,2,12,5
510,97,127,1,56,0,1,31,3,4,2,3,7
511,6,325,83,300,86,58,91,1,6,4,12,3
512,93,238,17,68,8,10,6,3,6,2,5,7
513,78,1168,92,408,72,129,55,1,5,6,7,1
514,62,284,0,55,0,6,52,4,6,2,5,8
515,47,1288,20,613,80,61,27,1,5,7,9,2
516,9,65,0,46,4,3,20,4,3,1,3,8
517,77,11,7,9,3,1,11,1,1,0,3,7
518,24,227,23,389,42,21,75,1,4,5,7,2
519,19,1035,134,670,25,38,0,1,6,3,10,3
520,67,27,1,12,2,0,10,2,2,0,3,7
521,95,982,73,351,56,14,175,1,2,4,6,5
522,48,179,2,64,38,17,58,1,5,1,6,5
523,73,1379,33,216,0,33,66,1,2,4,9,6
524,35,32,1,64,16,12,85,3,2,2,3,6
525,76,8,4,15,7,6,2,1,1,0,3,8
526,20,881,38,319,16,25,12,1,4,5,10,2
527,72,141,15,153,67,31,35,1,4,4,6,3
528,20,1000,155,379,224,17,120,1,4,8,4,8
529,69,206,10,67,30,27,71,6,4,1,8,6
